Key,File,Type,english
hotbox,blocks,Workstation,Hot Box
hotboxDesc,blocks,Workstation,The Hot Box is a simple workstation that allows enhanced seeds to absorb various materials and take on new traits.
hotboxTip,Journal Tip,,"The Hot Box is a simple workstation that allows enhanced seeds to absorb various materials and take on new traits."
hotboxTip_title,Journal Tip,,Hot Box
perkLivingOffTheLandRank3Desc,progression,perk For,Farmer
perkLivingOffTheLandRank3LongDesc,progression,perk For,Triple the harvest of wild or planted crops. Craft Hot Boxes and Enhanced Seeds that you'll be able to research and add special traits to.
lblCategorySeedEnhancement,UI,Tooltip,Seed Enhancement
buffInjuryThornsName,buffs,Buff,Thorns
buffInjuryCriticalThornsName,buffs,Buff,Critical Thorns
buffInjuryThornsDesc,buffs,Buff,"Your skin is pierced by the thorny barbs of an aggressively engineered plant.\n\nStep away from the plant to avoid further injury."
buffInjuryThornsTooltip,buffs,Buff,The thorns on this plant are cutting into your skin.
plantedAloe1_,blocks,Farming,"Aloe (Seed, Enhanced)"
plantedAloe2_,blocks,Farming,"Aloe (Growing, Enhanced)"
plantedAloe3_,blocks,Farming,"Aloe (Enhanced)"
plantedAloe1_Desc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nThis can be crafted by Hand or at a Workbench."
plantedAloe1_B,blocks,Farming,"Aloe (Seed, Bonus)"
plantedAloe2_B,blocks,Farming,"Aloe (Growing, Bonus)"
plantedAloe3_B,blocks,Farming,"Aloe (Bonus)"
plantedAloe1_BDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nA Hot Box is required to craft this."
plantedAloe1_BB,blocks,Farming,"Aloe (Seed, Bountiful Bonus)"
plantedAloe2_BB,blocks,Farming,"Aloe (Growing, Bountiful Bonus)"
plantedAloe3_BB,blocks,Farming,"Aloe (Bountiful Bonus)"
plantedAloe1_BBDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBountiful Bonus: further quadruples crop yield.\n\nA Hot Box is required to craft this."
plantedAloe1_BU,blocks,Farming,"Aloe (Seed, Bonus, Underground)"
plantedAloe2_BU,blocks,Farming,"Aloe (Growing, Bonus, Underground)"
plantedAloe3_BU,blocks,Farming,"Aloe (Bonus, Underground)"
plantedAloe1_BUDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nA Hot Box is required to craft this."
plantedAloe1_BF,blocks,Farming,"Aloe (Seed, Bonus, Fast Growth)"
plantedAloe2_BF,blocks,Farming,"Aloe (Growing, Bonus, Fast Growth)"
plantedAloe3_BF,blocks,Farming,"Aloe (Bonus, Fast Growth)"
plantedAloe1_BFDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedAloe1_BR,blocks,Farming,"Aloe (Seed, Bonus, Renewable)"
plantedAloe2_BR,blocks,Farming,"Aloe (Growing, Bonus, Renewable)"
plantedAloe3_BR,blocks,Farming,"Aloe (Bonus, Renewable)"
plantedAloe1_BRDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedAloe1_BT,blocks,Farming,"Aloe (Seed, Bonus, Thorny)"
plantedAloe2_BT,blocks,Farming,"Aloe (Growing, Bonus, Thorny)"
plantedAloe3_BT,blocks,Farming,"Aloe (Bonus, Thorny)"
plantedAloe1_BTDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedAloe1_U,blocks,Farming,"Aloe (Seed, Underground)"
plantedAloe2_U,blocks,Farming,"Aloe (Growing, Underground)"
plantedAloe3_U,blocks,Farming,"Aloe (Underground)"
plantedAloe1_UDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nA Hot Box is required to craft this."
plantedAloe1_UF,blocks,Farming,"Aloe (Seed, Underground, Fast Growth)"
plantedAloe2_UF,blocks,Farming,"Aloe (Growing, Underground, Fast Growth)"
plantedAloe3_UF,blocks,Farming,"Aloe (Underground, Fast Growth)"
plantedAloe1_UFDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedAloe1_UE,blocks,Farming,"Aloe (Seed, Underground, Explosive)"
plantedAloe2_UE,blocks,Farming,"Aloe (Growing, Underground, Explosive)"
plantedAloe3_UE,blocks,Farming,"Aloe (Underground, Explosive)"
plantedAloe1_UEDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedAloe1_UR,blocks,Farming,"Aloe (Seed, Underground, Renewable)"
plantedAloe2_UR,blocks,Farming,"Aloe (Growing, Underground, Renewable)"
plantedAloe3_UR,blocks,Farming,"Aloe (Underground, Renewable)"
plantedAloe1_URDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedAloe1_UT,blocks,Farming,"Aloe (Seed, Underground, Thorny)"
plantedAloe2_UT,blocks,Farming,"Aloe (Growing, Underground, Thorny)"
plantedAloe3_UT,blocks,Farming,"Aloe (Underground, Thorny)"
plantedAloe1_UTDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedAloe1_F,blocks,Farming,"Aloe (Seed, Fast Growth)"
plantedAloe2_F,blocks,Farming,"Aloe (Growing, Fast Growth)"
plantedAloe3_F,blocks,Farming,"Aloe (Fast Growth)"
plantedAloe1_FDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedAloe1_FF,blocks,Farming,"Aloe (Seed, Rapid Growth)"
plantedAloe2_FF,blocks,Farming,"Aloe (Growing, Rapid Growth)"
plantedAloe3_FF,blocks,Farming,"Aloe (Rapid Growth)"
plantedAloe1_FFDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nRapid Growth: reaches maturity in a quarter of the time.\n\nA Hot Box is required to craft this."
plantedAloe1_FE,blocks,Farming,"Aloe (Seed, Fast Growth, Explosive)"
plantedAloe2_FE,blocks,Farming,"Aloe (Growing, Fast Growth, Explosive)"
plantedAloe3_FE,blocks,Farming,"Aloe (Fast Growth, Explosive)"
plantedAloe1_FEDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nFast Growth: reaches maturity in half the time.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedAloe1_FR,blocks,Farming,"Aloe (Seed, Fast Growth, Renewable)"
plantedAloe2_FR,blocks,Farming,"Aloe (Growing, Fast Growth, Renewable)"
plantedAloe3_FR,blocks,Farming,"Aloe (Fast Growth, Renewable)"
plantedAloe1_FRDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nFast Growth: reaches maturity in half the time.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedAloe1_FT,blocks,Farming,"Aloe (Seed, Fast Growth, Thorny)"
plantedAloe2_FT,blocks,Farming,"Aloe (Growing, Fast Growth, Thorny)"
plantedAloe3_FT,blocks,Farming,"Aloe (Fast Growth, Thorny)"
plantedAloe1_FTDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nFast Growth: reaches maturity in half the time.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedAloe1_E,blocks,Farming,"Aloe (Seed, Explosive)"
plantedAloe2_E,blocks,Farming,"Aloe (Growing, Explosive)"
plantedAloe3_E,blocks,Farming,"Aloe (Explosive)"
plantedAloe1_EDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedAloe1_EE,blocks,Farming,"Aloe (Seed, Extremely Explosive)"
plantedAloe2_EE,blocks,Farming,"Aloe (Growing, Extremely Explosive)"
plantedAloe3_EE,blocks,Farming,"Aloe (Extremely Explosive)"
plantedAloe1_EEDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nExtremely Explosive: triggers a concealed explosive with a large payload when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedAloe1_ET,blocks,Farming,"Aloe (Seed, Explosive, Thorny)"
plantedAloe2_ET,blocks,Farming,"Aloe (Growing, Explosive, Thorny)"
plantedAloe3_ET,blocks,Farming,"Aloe (Explosive, Thorny)"
plantedAloe1_ETDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedAloe1_R,blocks,Farming,"Aloe (Seed, Renewable)"
