Key,File,Type,english
hotbox,blocks,Workstation,Hot Box
hotboxDesc,blocks,Workstation,"The Hot Box is a simple workstation that allows enhanced seeds to absorb various materials and take on new traits."
hotboxTip,Journal Tip,,"The Hot Box is a simple workstation that allows enhanced seeds to absorb various materials and take on new traits."
hotboxTip_title,Journal Tip,,Hot Box
perkLivingOffTheLandRank3Desc,progression,perk For,Farmer
perkLivingOffTheLandRank3LongDesc,progression,perk For,"Triple the harvest of wild or planted crops. Craft Hot Boxes and Enhanced Seeds that you'll be able to research special traits for."
perkLivingOffTheLandRank4Desc,progression,perk For,Mad Scientist
perkLivingOffTheLandRank4LongDesc,progression,perk For,"Craft a Trait into enhanced seeds.\n\nTraits can be used to add a wide variety of properties to a seed; ranging from increasing crop yield to allowing plants to grow without sunlight."
perkLivingOffTheLandRank5Desc,progression,perk For,Agricultural Genius
perkLivingOffTheLandRank5LongDesc,progression,perk For,"Craft a second Trait into enhanced seeds.\n\nDouble the Traits,\nDouble the fun!"
lblCategoryTier1SeedResearch,UI,Tooltip,Seed Enhancement Research
lblCategoryTier1Seeds,UI,Tooltip,Enhance Seed
lblCategoryTier2SeedResearch,UI,Tooltip,Seed Trait Research
lblCategoryTier2Seeds,UI,Tooltip,Add Seed Trait
lblCategoryTier3SeedResearch,UI,Tooltip,Advanced Seed Trait Research
lblCategoryTier3Seeds,UI,Tooltip,Add Another Seed Trait
buffInjuryThornsName,buffs,Buff,Thorns
buffInjuryCriticalThornsName,buffs,Buff,Critical Thorns
buffInjuryThornsDesc,buffs,Buff,"Your skin is pierced by the thorny barbs of an aggressively engineered plant.\n\nStep away from the plant to avoid further injury."
buffInjuryThornsTooltip,buffs,Buff,The thorns on this plant are cutting into your skin.
plantedAloe1_schematic,blocks,Farming,"Aloe Vera (Seed, Enhanced) Recipe"
plantedAloe1_,blocks,Farming,"Aloe Vera (Seed, Enhanced)"
plantedAloe2_,blocks,Farming,"Aloe Vera (Growing, Enhanced)"
plantedAloe3_,blocks,Farming,"Aloe Vera (Enhanced)"
plantedAloe1_Desc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nThis can be crafted by Hand or at a Workbench."
plantedAloe1_Bschematic,blocks,Farming,"Aloe Vera (Seed, Bonus) Recipe"
plantedAloe1_B,blocks,Farming,"Aloe Vera (Seed, Bonus)"
plantedAloe2_B,blocks,Farming,"Aloe Vera (Growing, Bonus)"
plantedAloe3_B,blocks,Farming,"Aloe Vera (Bonus)"
plantedAloe1_BDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nA Hot Box is required to craft this."
plantedAloe1_BBschematic,blocks,Farming,"Aloe Vera (Seed, Bountiful Bonus) Recipe"
plantedAloe1_BB,blocks,Farming,"Aloe Vera (Seed, Bountiful Bonus)"
plantedAloe2_BB,blocks,Farming,"Aloe Vera (Growing, Bountiful Bonus)"
plantedAloe3_BB,blocks,Farming,"Aloe Vera (Bountiful Bonus)"
plantedAloe1_BBDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBountiful Bonus: further quadruples crop yield.\n\nA Hot Box is required to craft this."
plantedAloe1_BUschematic,blocks,Farming,"Aloe Vera (Seed, Bonus, Underground) Recipe"
plantedAloe1_BU,blocks,Farming,"Aloe Vera (Seed, Bonus, Underground)"
plantedAloe2_BU,blocks,Farming,"Aloe Vera (Growing, Bonus, Underground)"
plantedAloe3_BU,blocks,Farming,"Aloe Vera (Bonus, Underground)"
plantedAloe1_BUDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nA Hot Box is required to craft this."
plantedAloe1_BFschematic,blocks,Farming,"Aloe Vera (Seed, Bonus, Fast Growth) Recipe"
plantedAloe1_BF,blocks,Farming,"Aloe Vera (Seed, Bonus, Fast Growth)"
plantedAloe2_BF,blocks,Farming,"Aloe Vera (Growing, Bonus, Fast Growth)"
plantedAloe3_BF,blocks,Farming,"Aloe Vera (Bonus, Fast Growth)"
plantedAloe1_BFDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedAloe1_BRschematic,blocks,Farming,"Aloe Vera (Seed, Bonus, Renewable) Recipe"
plantedAloe1_BR,blocks,Farming,"Aloe Vera (Seed, Bonus, Renewable)"
plantedAloe2_BR,blocks,Farming,"Aloe Vera (Growing, Bonus, Renewable)"
plantedAloe3_BR,blocks,Farming,"Aloe Vera (Bonus, Renewable)"
plantedAloe1_BRDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedAloe1_BTschematic,blocks,Farming,"Aloe Vera (Seed, Bonus, Thorny) Recipe"
plantedAloe1_BT,blocks,Farming,"Aloe Vera (Seed, Bonus, Thorny)"
plantedAloe2_BT,blocks,Farming,"Aloe Vera (Growing, Bonus, Thorny)"
plantedAloe3_BT,blocks,Farming,"Aloe Vera (Bonus, Thorny)"
plantedAloe1_BTDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nBonus: further doubles crop yield.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedAloe1_Uschematic,blocks,Farming,"Aloe Vera (Seed, Underground) Recipe"
plantedAloe1_U,blocks,Farming,"Aloe Vera (Seed, Underground)"
plantedAloe2_U,blocks,Farming,"Aloe Vera (Growing, Underground)"
plantedAloe3_U,blocks,Farming,"Aloe Vera (Underground)"
plantedAloe1_UDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nA Hot Box is required to craft this."
plantedAloe1_UBschematic,blocks,Farming,"Aloe Vera (Seed, Underground, Bonus) Recipe"
plantedAloe1_UB,blocks,Farming,"Aloe Vera (Seed, Underground, Bonus)"
plantedAloe2_UB,blocks,Farming,"Aloe Vera (Growing, Underground, Bonus)"
plantedAloe3_UB,blocks,Farming,"Aloe Vera (Underground, Bonus)"
plantedAloe1_UBDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nBonus: further doubles crop yield.\n\nA Hot Box is required to craft this."
plantedAloe1_UFschematic,blocks,Farming,"Aloe Vera (Seed, Underground, Fast Growth) Recipe"
plantedAloe1_UF,blocks,Farming,"Aloe Vera (Seed, Underground, Fast Growth)"
plantedAloe2_UF,blocks,Farming,"Aloe Vera (Growing, Underground, Fast Growth)"
plantedAloe3_UF,blocks,Farming,"Aloe Vera (Underground, Fast Growth)"
plantedAloe1_UFDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedAloe1_UEschematic,blocks,Farming,"Aloe Vera (Seed, Underground, Explosive) Recipe"
plantedAloe1_UE,blocks,Farming,"Aloe Vera (Seed, Underground, Explosive)"
plantedAloe2_UE,blocks,Farming,"Aloe Vera (Growing, Underground, Explosive)"
plantedAloe3_UE,blocks,Farming,"Aloe Vera (Underground, Explosive)"
plantedAloe1_UEDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedAloe1_URschematic,blocks,Farming,"Aloe Vera (Seed, Underground, Renewable) Recipe"
plantedAloe1_UR,blocks,Farming,"Aloe Vera (Seed, Underground, Renewable)"
plantedAloe2_UR,blocks,Farming,"Aloe Vera (Growing, Underground, Renewable)"
plantedAloe3_UR,blocks,Farming,"Aloe Vera (Underground, Renewable)"
plantedAloe1_URDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedAloe1_UTschematic,blocks,Farming,"Aloe Vera (Seed, Underground, Thorny) Recipe"
plantedAloe1_UT,blocks,Farming,"Aloe Vera (Seed, Underground, Thorny)"
plantedAloe2_UT,blocks,Farming,"Aloe Vera (Growing, Underground, Thorny)"
plantedAloe3_UT,blocks,Farming,"Aloe Vera (Underground, Thorny)"
plantedAloe1_UTDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedAloe1_Fschematic,blocks,Farming,"Aloe Vera (Seed, Fast Growth) Recipe"
plantedAloe1_F,blocks,Farming,"Aloe Vera (Seed, Fast Growth)"
plantedAloe2_F,blocks,Farming,"Aloe Vera (Growing, Fast Growth)"
plantedAloe3_F,blocks,Farming,"Aloe Vera (Fast Growth)"
plantedAloe1_FDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedAloe1_FBschematic,blocks,Farming,"Aloe Vera (Seed, Fast Growth, Bonus) Recipe"
plantedAloe1_FB,blocks,Farming,"Aloe Vera (Seed, Fast Growth, Bonus)"
plantedAloe2_FB,blocks,Farming,"Aloe Vera (Growing, Fast Growth, Bonus)"
plantedAloe3_FB,blocks,Farming,"Aloe Vera (Fast Growth, Bonus)"
plantedAloe1_FBDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nFast Growth: reaches maturity in half the time.\n\nBonus: further doubles crop yield.\n\nA Hot Box is required to craft this."
plantedAloe1_FUschematic,blocks,Farming,"Aloe Vera (Seed, Fast Growth, Underground) Recipe"
plantedAloe1_FU,blocks,Farming,"Aloe Vera (Seed, Fast Growth, Underground)"
plantedAloe2_FU,blocks,Farming,"Aloe Vera (Growing, Fast Growth, Underground)"
plantedAloe3_FU,blocks,Farming,"Aloe Vera (Fast Growth, Underground)"
plantedAloe1_FUDesc,blocks,Farming,"Plant these seeds on a craftable Farm Plot block to grow plants for you to harvest.\n\nWhen harvested, there is a 50% chance to get a seed back for replanting.\n\nAll Enhanced Seeds yield twice the standard number of crops.\n\nFast Growth: reaches maturity in half the time.\n\nUnderground: fused with mushroom dna, alowing growth without the need for sunlight.\n\nA Hot Box is required to craft this."
plantedAloe1_FFschematic,blocks,Farming,"Aloe Vera (Seed, Rapid Growth) Recipe"
