Key,File,Type,english
hotbox,blocks,Workstation,Hot Box
hotboxDesc,blocks,Workstation,The Hot Box is a simple workstation that allows seeds to slowly absorb the viral zombie mutagens.
hotboxTip,Journal Tip,,"The Hot Box is a simple workstation that allows seeds to slowly absorb the viral zombie mutagens.\n\nLeaving seeds and meat in this box will slowly attract zombies at the same rate a workbench would."
hotboxTip_title,Journal Tip,,Hot Box
perkLivingOffTheLandRank3Desc,progression,perk For,Farmer
perkLivingOffTheLandRank3LongDesc,progression,perk For,Triple the harvest of wild or planted crops. Craft Hot Boxes and GMO Seeds that you'll be able to research and add special traits to.
plantedMushroom1_,blocks,Farming,Enhanced Mushroom Spore (Seed)
plantedMushroom2_,blocks,Farming,Enhanced Mushrooms (Growing)
plantedMushroom3_,blocks,Farming,Enhanced Mushrooms
plantedMushroom1_Desc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nThis can be crafted by hand or in a Hot Box."
plantedMushroom1_B,blocks,Farming,Bonus Mushroom Spore (Seed)
plantedMushroom2_B,blocks,Farming,Bonus Mushrooms (Growing)
plantedMushroom3_B,blocks,Farming,Bonus Mushrooms
plantedMushroom1_BDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nBonus: further doubles crop yield.\n\nA Hot Box is required to craft this."
plantedMushroom1_BB,blocks,Farming,Bountiful Bonus Mushroom Spore (Seed)
plantedMushroom2_BB,blocks,Farming,Bountiful Bonus Mushrooms (Growing)
plantedMushroom3_BB,blocks,Farming,Bountiful Bonus Mushrooms
plantedMushroom1_BBDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nBountiful Bonus: further quadruples crop yield.\n\nA Hot Box is required to craft this."
plantedMushroom1_BF,blocks,Farming,"Bonus, Fast Growth Mushroom Spore (Seed)"
plantedMushroom2_BF,blocks,Farming,"Bonus, Fast Growth Mushrooms (Growing)"
plantedMushroom3_BF,blocks,Farming,"Bonus, Fast Growth Mushrooms"
plantedMushroom1_BFDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nBonus: further doubles crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedMushroom1_BR,blocks,Farming,"Bonus, Renewable Mushroom Spore (Seed)"
plantedMushroom2_BR,blocks,Farming,"Bonus, Renewable Mushrooms (Growing)"
plantedMushroom3_BR,blocks,Farming,"Bonus, Renewable Mushrooms"
plantedMushroom1_BRDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nBonus: further doubles crop yield.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedMushroom1_BT,blocks,Farming,"Bonus, Thorny Mushroom Spore (Seed)"
plantedMushroom2_BT,blocks,Farming,"Bonus, Thorny Mushrooms (Growing)"
plantedMushroom3_BT,blocks,Farming,"Bonus, Thorny Mushrooms"
plantedMushroom1_BTDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nBonus: further doubles crop yield.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedMushroom1_BS,blocks,Farming,"Bonus, Sweet Mushroom Spore (Seed)"
plantedMushroom2_BS,blocks,Farming,"Bonus, Sweet Mushrooms (Growing)"
plantedMushroom3_BS,blocks,Farming,"Bonus, Sweet Mushrooms"
plantedMushroom1_BSDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nBonus: further doubles crop yield.\n\nSweet: produces a sweet aroma upon reaching maturity, providing the possibility of attracting an animal.\n- Boars are especially attracted to this type of plant.\n\nA Hot Box is required to craft this."
plantedMushroom1_F,blocks,Farming,Fast Growth Mushroom Spore (Seed)
plantedMushroom2_F,blocks,Farming,Fast Growth Mushrooms (Growing)
plantedMushroom3_F,blocks,Farming,Fast Growth Mushrooms
plantedMushroom1_FDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nA Hot Box is required to craft this."
plantedMushroom1_FF,blocks,Farming,Rapid Growth Mushroom Spore (Seed)
plantedMushroom2_FF,blocks,Farming,Rapid Growth Mushrooms (Growing)
plantedMushroom3_FF,blocks,Farming,Rapid Growth Mushrooms
plantedMushroom1_FFDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nRapid Growth: reaches maturity in a quarter of the time.\n\nA Hot Box is required to craft this."
plantedMushroom1_FE,blocks,Farming,"Fast Growth, Explosive Mushroom Spore (Seed)"
plantedMushroom2_FE,blocks,Farming,"Fast Growth, Explosive Mushrooms (Growing)"
plantedMushroom3_FE,blocks,Farming,"Fast Growth, Explosive Mushrooms"
plantedMushroom1_FEDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedMushroom1_FR,blocks,Farming,"Fast Growth, Renewable Mushroom Spore (Seed)"
plantedMushroom2_FR,blocks,Farming,"Fast Growth, Renewable Mushrooms (Growing)"
plantedMushroom3_FR,blocks,Farming,"Fast Growth, Renewable Mushrooms"
plantedMushroom1_FRDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedMushroom1_FT,blocks,Farming,"Fast Growth, Thorny Mushroom Spore (Seed)"
plantedMushroom2_FT,blocks,Farming,"Fast Growth, Thorny Mushrooms (Growing)"
plantedMushroom3_FT,blocks,Farming,"Fast Growth, Thorny Mushrooms"
plantedMushroom1_FTDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedMushroom1_FS,blocks,Farming,"Fast Growth, Sweet Mushroom Spore (Seed)"
plantedMushroom2_FS,blocks,Farming,"Fast Growth, Sweet Mushrooms (Growing)"
plantedMushroom3_FS,blocks,Farming,"Fast Growth, Sweet Mushrooms"
plantedMushroom1_FSDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nFast Growth: reaches maturity in half the time.\n\nSweet: produces a sweet aroma upon reaching maturity, providing the possibility of attracting an animal.\n- Boars are especially attracted to this type of plant.\n\nA Hot Box is required to craft this."
plantedMushroom1_E,blocks,Farming,Explosive Mushroom Spore (Seed)
plantedMushroom2_E,blocks,Farming,Explosive Mushrooms (Growing)
plantedMushroom3_E,blocks,Farming,Explosive Mushrooms
plantedMushroom1_EDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedMushroom1_EE,blocks,Farming,Extremely Explosive Mushroom Spore (Seed)
plantedMushroom2_EE,blocks,Farming,Extremely Explosive Mushrooms (Growing)
plantedMushroom3_EE,blocks,Farming,Extremely Explosive Mushrooms
plantedMushroom1_EEDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nExtremely Explosive: triggers a concealed explosive with a large payload when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nA Hot Box is required to craft this."
plantedMushroom1_ET,blocks,Farming,"Explosive, Thorny Mushroom Spore (Seed)"
plantedMushroom2_ET,blocks,Farming,"Explosive, Thorny Mushrooms (Growing)"
plantedMushroom3_ET,blocks,Farming,"Explosive, Thorny Mushrooms"
plantedMushroom1_ETDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedMushroom1_ES,blocks,Farming,"Explosive, Sweet Mushroom Spore (Seed)"
plantedMushroom2_ES,blocks,Farming,"Explosive, Sweet Mushrooms (Growing)"
plantedMushroom3_ES,blocks,Farming,"Explosive, Sweet Mushrooms"
plantedMushroom1_ESDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nExplosive: triggers a concealed explosive when stepped on, struck with a melee weapon, or hit with an arrow.\n- Due to the flexible nature of plants, the detonator will not trigger if struck with bullets or other explosives.\n\nSweet: produces a sweet aroma upon reaching maturity, providing the possibility of attracting an animal.\n- Boars are especially attracted to this type of plant.\n\nA Hot Box is required to craft this."
plantedMushroom1_R,blocks,Farming,Renewable Mushroom Spore (Seed)
plantedMushroom2_R,blocks,Farming,Renewable Mushrooms (Growing)
plantedMushroom3_R,blocks,Farming,Renewable Mushrooms
plantedMushroom1_RDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nA Hot Box is required to craft this."
plantedMushroom1_RT,blocks,Farming,"Renewable, Thorny Mushroom Spore (Seed)"
plantedMushroom2_RT,blocks,Farming,"Renewable, Thorny Mushrooms (Growing)"
plantedMushroom3_RT,blocks,Farming,"Renewable, Thorny Mushrooms"
plantedMushroom1_RTDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedMushroom1_RS,blocks,Farming,"Renewable, Sweet Mushroom Spore (Seed)"
plantedMushroom2_RS,blocks,Farming,"Renewable, Sweet Mushrooms (Growing)"
plantedMushroom3_RS,blocks,Farming,"Renewable, Sweet Mushrooms"
plantedMushroom1_RSDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nRenewable: clean, healthy water allows this plant to spread out its roots and bolster its nutrition absorption and allowing it to produce crops endlessly.\n\nSweet: produces a sweet aroma upon reaching maturity, providing the possibility of attracting an animal.\n- Boars are especially attracted to this type of plant.\n\nA Hot Box is required to craft this."
plantedMushroom1_T,blocks,Farming,Thorny Mushroom Spore (Seed)
plantedMushroom2_T,blocks,Farming,Thorny Mushrooms (Growing)
plantedMushroom3_T,blocks,Farming,Thorny Mushrooms
plantedMushroom1_TDesc,blocks,Farming,"Mushroom spores can be planted on all surfaces and walls and will grow without sunlight.\n\nAll GMO Seeds twice the crop yield.\n\nThorny: integrates with sharp, metal thorns. Touching them will cause one to bleed.\n\nA Hot Box is required to craft this."
plantedMushroom1_TT,blocks,Farming,Extra Thorny Mushroom Spore (Seed)
